sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Aara:Aqua:Amel:Acol:Agam	Ne_Amer	Ne_Aara:Aqua:Amel:Acol:Agam:Amer	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Aara:Aqua:Amel_to_Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Acol:Agam_to_Aara:Aqua:Amel	bmig_Aara:Aqua:Amel:Acol:Agam_to_Amer	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Amer_to_Aara:Aqua:Amel	bmig_Amer_to_Aara:Aqua:Amel:Acol:Agam	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Acol	height_Agam	height_Acol:Agam	height_Aara:Aqua:Amel:Acol:Agam	height_Amer	height_Aara:Aqua:Amel:Acol:Agam:Amer
0	8.446788236159572E-4	5.710719324565006E-4	8.480163698968263E-4	8.320479045731988E-4	0.0012439249897288366	8.884282020568497E-4	8.16761997107912E-4	7.969343210218904E-4	7.90154571465737E-4	8.718188638677884E-4	0.0016906918594438635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006271935755593795	0.0	0.008006951964663049	0.0	0.0	0.0014004878281622512	0.010678164370502173	0.0	0.011053448390992496
1	6.124241983114095E-4	7.733512790260361E-4	0.001203820132314603	4.481395613938952E-4	0.001200500394864986	7.18080313441386E-4	7.187738103061281E-4	7.734481186367697E-4	9.34120908279493E-4	6.224474198168999E-4	0.0011361915088827388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005765975297057781	0.0	0.007355463666966933	0.0	0.0	0.00125274086586394	0.00983813022941185	0.0	0.010436491018136065
2	6.726322851723205E-4	6.574761889242185E-4	8.656117214650802E-4	0.0010262300569215468	0.001588984966314609	7.021219269217724E-4	7.125345831357291E-4	9.142891090304354E-4	0.001271988779709032	7.224164947611122E-4	0.0015089705038088949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058161347656273815	0.0	0.00747152529391291	0.0	0.0	0.0013760948671888117	0.00984043784888759	0.0	0.010430978862139567
3	9.834039647454711E-4	8.631885753319887E-4	0.0011485450934600634	9.287281790423584E-4	8.518797933069024E-4	9.928146160399385E-4	0.0010446354307766356	7.533984746377514E-4	0.0011353345162072963	9.773833286347402E-4	0.001979162544163935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005530882836659522	0.0	0.008012815070572494	0.0	0.0	0.0014415879509823773	0.010152144287871609	0.0	0.01024212311125956
4	7.939865593711456E-4	7.305569236548198E-4	0.001065796311176233	8.816002984026503E-4	0.0012106944290195645	9.373736029919662E-4	6.494981707525511E-4	5.268828298389166E-4	8.514622777972284E-4	7.730549832753014E-4	0.0011565366190857667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0057093906556876855	0.0	0.00826498740073787	0.0	0.0	0.001324743340409846	0.009977789699862408	0.0	0.010161757528512436
5	9.726010386128937E-4	0.001017062847097199	0.0014460454117368182	0.0012419027042616466	9.75481217424146E-4	0.0011181330219929985	8.457313467377267E-4	0.001280084219226475	0.001252909324496296	9.252895152081492E-4	9.80524871529542E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.668573367110639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005735151345520684	0.0	0.008501296779290778	0.0	0.0	5.741932590755516E-4	0.00982348865560594	0.0	0.009875225498540405
6	0.00172631186832254	9.0424743450526E-4	0.0010990988752571248	8.644423843172139E-4	6.43134653319379E-4	0.001140841789320706	0.001337855314162444	7.949462014958034E-4	0.002110176671827436	0.0015463847542352763	0.0011129091927547432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005760669359708135	0.0	0.007334803631160715	0.0	0.0	6.58939655866159E-4	0.008698413126091169	0.0	0.009108847657809283
7	0.0012224134884046627	0.0015494745826633693	0.001142653142940237	0.001145066424455426	0.0010487572999547338	9.147304517341007E-4	0.0011133942453783214	9.024486015822525E-4	8.24746838874905E-4	7.050250729221917E-4	0.0014850974954702392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0067687130131179035	0.0	0.008669430386482588	0.0	0.0	4.219247812357208E-4	0.010879865064144394	0.0	0.01102040517990961
8	0.0018039071925793461	0.001393456159973007	0.0010521454045071361	0.0011096696773810562	5.646056411522292E-4	0.001165107746098369	6.833156102686495E-4	9.11090216068164E-4	0.0011810477863867495	8.108566299153309E-4	9.353499318936502E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005828284401000886	0.0	0.008252606298315174	0.0	0.0	5.361935523466484E-4	0.009927968195610391	0.0	0.010408636960617971
9	9.413122372359025E-4	0.0011225750414251385	7.578457420213767E-4	0.0012704006447472897	8.201797514905928E-4	0.0010121985552865955	0.0015657244396299734	8.147325649749932E-4	0.0017354181716501796	0.0011689590610364832	9.246706230629515E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005460889087627277	0.0	0.007849839643808946	0.0	0.0	2.877985995953618E-4	0.009902448712406219	0.0	0.010570385521224688
