sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Amer	Ne_Aara:Aqua:Amel:Amer	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Aara:Aqua:Amel:Amer:Acol:Agam	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Aara:Aqua:Amel_to_Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Amer_to_Aara:Aqua:Amel	bmig_Aara:Aqua:Amel:Amer_to_Acol:Agam	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Acol:Agam_to_Aara:Aqua:Amel	bmig_Acol:Agam_to_Aara:Aqua:Amel:Amer	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Amer	height_Aara:Aqua:Amel:Amer	height_Acol	height_Agam	height_Acol:Agam	height_Aara:Aqua:Amel:Amer:Acol:Agam
0	4.4628932142083325E-4	5.767446215618158E-4	4.6151884299785794E-4	4.3766831819132973E-4	4.6144786413232036E-4	7.392983572747873E-4	5.165121438599152E-4	5.13546211403015E-4	5.172930385787909E-4	4.6003947498399385E-4	6.46379065402817E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.229001039532836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006660545337720683	0.0	0.00806287069020451	0.0	0.011104462633355438	0.0	0.0	0.0014797997757740565	0.011306630357840592
1	4.842861087164746E-4	4.306882628153603E-4	4.324376940670809E-4	5.010106750011677E-4	7.296448018174096E-4	6.623943798613986E-4	6.379388246083487E-4	7.183244438192844E-4	5.093474021586972E-4	4.598327105125219E-4	7.654459356298025E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.229001039532836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.48050344567754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006482784928524954	0.0	0.008017582125188329	0.0	0.011023838096091006	0.0	0.0	0.0011685590999505006	0.011407486569463188
2	0.001165959498144126	0.0012301651765283098	0.0017452267881784347	0.0016009974051826824	0.0011846083685402116	0.0012893969937781027	0.0017338262188217055	0.0013970485297651301	0.0017554277851057414	0.0015398612480564458	0.0013990149600147657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.668573367110639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006307936832458306	0.0	0.008774719425531175	0.0	0.010045851308744132	0.0	0.0	4.8066985268959556E-4	0.010165714547771064
3	0.0015586806304267687	9.195341493745658E-4	9.300438743886203E-4	0.0013701226802541801	0.0013918101375664513	0.001240206435709177	0.0026389981348216725	0.001933916973221704	0.0014464019126732243	9.94163934726009E-4	0.0016930976385997802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.03771041881012	0.0	0.0	0.0	0.0	0.005541849723937059	0.0	0.007149882695843073	0.0	0.00926479877926518	0.0	0.0	5.56875102046557E-4	0.009542361447607568
4	0.0013958976375841718	0.0012485217728031711	0.001251787512618123	8.120819876296304E-4	9.794072484325949E-4	0.0011408936414435602	0.0015170328182543635	0.0010750440398657843	0.0010742332996170746	8.637826345120064E-4	0.0011041836975305111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.262894256177706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.389121038396404	0.0	0.0	0.0	0.0	0.005813150972812198	0.0	0.007565200113152632	0.0	0.010481075804787902	0.0	0.0	9.93428767724281E-4	0.010530201158963453
5	0.0013057680056944992	0.0015631476571236215	0.001722086313764134	0.0010850417423277012	0.0014747263347905366	0.001560071139743752	0.0015640663577545348	0.0013458711993290802	9.218715226763124E-4	0.001332213970272715	0.0011664624513071536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005640365388698357	0.0	0.00888393812071525	0.0	0.009736686927959511	0.0	0.0	6.891390384295738E-4	0.009842566533754012
6	0.0012434782117303747	8.511389261964716E-4	0.0014885799352364957	0.001244256037762324	0.0015459926387139985	0.0022088080498544487	0.0015695047992316355	0.0014043766255412943	0.0021034886995267253	0.0010780828987660602	0.0014940183828736923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005536336431109673	0.0	0.00865767128803183	0.0	0.009576539237480634	0.0	0.0	7.890783743959087E-4	0.010119396288312026
7	0.0012857259441148858	0.0012312005888878929	0.0010632715381693313	0.0015679935271055777	0.0010739694319138967	8.303325588147065E-4	0.0015053196612440215	0.0017471640449535956	0.0011985914223650732	0.0011592402375585945	0.001528623629799985	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00579614714151646	0.0	0.00861396190709771	0.0	0.009980554606335863	0.0	0.0	7.199816693611895E-4	0.010073767562438387
8	0.0015724892628757234	9.571044808108319E-4	0.001015952484217696	0.0011384347051937246	0.0011278370758373297	8.809727090955255E-4	0.0012597162066958073	0.0015038103171809345	0.0010117459687668403	9.384612834630375E-4	7.537740053973089E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.278211644528657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00630350259198016	0.0	0.008963703985143073	0.0	0.011538979018740769	0.0	0.0	0.0013325623232675905	0.011564311912799913
9	0.002082971038543217	0.0028859492099970662	0.001615734874595227	0.0011851358785010169	0.00163497038580478	0.0013290437020878208	0.0017964454034231335	0.001960531222433584	0.0024040680217795895	8.95667293323275E-4	0.0013420169898845826	0.0	0.0	0.0	0.0	20.94386095092753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.17622397737848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00565413252656892	0.0	0.007369731056844155	0.0	0.008915975080937772	0.0	0.0	0.0011746119049155217	0.010021474347284218
