sample	Ne_Aara	Ne_Aqua	Ne_Aara:Aqua	Ne_Amel	Ne_Aara:Aqua:Amel	Ne_Acol	Ne_Agam	Ne_Acol:Agam	Ne_Amer	Ne_Acol:Agam:Amer	Ne_Aara:Aqua:Amel:Acol:Agam:Amer	bmig_Aara_to_Acol	bmig_Aara_to_Aqua	bmig_Aara_to_Amer	bmig_Aara_to_Amel	bmig_Aara_to_Agam	bmig_Aara_to_Acol:Agam	bmig_Aqua_to_Aara	bmig_Aqua_to_Acol	bmig_Aqua_to_Amer	bmig_Aqua_to_Amel	bmig_Aqua_to_Agam	bmig_Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Amer	bmig_Aara:Aqua_to_Amel	bmig_Aara:Aqua_to_Acol:Agam	bmig_Aara:Aqua_to_Acol:Agam:Amer	bmig_Amel_to_Aara	bmig_Amel_to_Acol	bmig_Amel_to_Aqua	bmig_Amel_to_Amer	bmig_Amel_to_Agam	bmig_Amel_to_Acol:Agam	bmig_Amel_to_Aara:Aqua	bmig_Amel_to_Acol:Agam:Amer	bmig_Aara:Aqua:Amel_to_Acol:Agam:Amer	bmig_Acol_to_Aara	bmig_Acol_to_Aqua	bmig_Acol_to_Amer	bmig_Acol_to_Amel	bmig_Acol_to_Agam	bmig_Agam_to_Aara	bmig_Agam_to_Acol	bmig_Agam_to_Aqua	bmig_Agam_to_Amer	bmig_Agam_to_Amel	bmig_Acol:Agam_to_Aara	bmig_Acol:Agam_to_Aqua	bmig_Acol:Agam_to_Amer	bmig_Acol:Agam_to_Amel	bmig_Acol:Agam_to_Aara:Aqua	bmig_Amer_to_Aara	bmig_Amer_to_Acol	bmig_Amer_to_Aqua	bmig_Amer_to_Amel	bmig_Amer_to_Agam	bmig_Amer_to_Acol:Agam	bmig_Amer_to_Aara:Aqua	bmig_Acol:Agam:Amer_to_Amel	bmig_Acol:Agam:Amer_to_Aara:Aqua	bmig_Acol:Agam:Amer_to_Aara:Aqua:Amel	height_Aara	height_Aqua	height_Aara:Aqua	height_Amel	height_Aara:Aqua:Amel	height_Acol	height_Agam	height_Acol:Agam	height_Amer	height_Acol:Agam:Amer	height_Aara:Aqua:Amel:Acol:Agam:Amer
0	0.0012809720574750432	0.0023571462564841595	0.0016285337473658447	0.0017921129163513808	0.0019816998458734207	0.0024327205962313032	0.0017810929549088989	0.0015542167959712097	0.0025226200925992544	0.0016879549433478141	0.0015589440941383024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.962554116849002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	196.45502769839604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005961078411186253	0.0	0.00962246653149114	0.0	0.0	4.412533353197745E-4	0.0	0.00961126954213798	0.010186591244094424
1	0.0017791270899590126	0.0014520960250845284	0.0011600156461526669	7.970681599821948E-4	8.251941697983631E-4	9.32248900695829E-4	0.0014592891216645672	9.231403149007821E-4	8.093033461097774E-4	0.0013654285978754825	0.0011542739402126345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005548486413128852	0.0	0.008719840028610058	0.0	0.0	9.83555421618286E-4	0.0	0.008711695102542154	0.009405630830867972
2	0.0010525871557548888	8.685739313549368E-4	0.0012640520247148676	0.0013360255217641074	0.0010871381357871154	0.0015551121922308612	0.00118806137919005	0.001049554522264249	0.0014243511233605862	0.0011609598963448985	0.0013477699707051306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.732699037546493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005939170904380273	0.0	0.009087267356008216	0.0	0.0	6.077201686992533E-4	0.0	0.009087061988057643	0.01067397869019723
3	0.0011213149102088137	0.0012070306107729103	0.0012035530066292115	0.0010355866339531133	0.0011247599232849892	0.0021764790566875525	9.747339132617728E-4	0.0013609316452477917	0.0014114322320870807	0.00127822618348884	0.001210366628249836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.971361197899117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006078105930553608	0.0	0.009053679422165166	0.0	0.0	3.9971341094025524E-4	0.0	0.008826666764553178	0.010950361866326993
4	0.0010097734234776245	6.626364270398523E-4	0.0011158739608525686	0.0017914405087020029	0.001071633967702068	0.0011268154303631672	0.0010413023246344734	7.627894397214586E-4	0.0014610843732781346	0.0019650477977201136	0.0014214791312532715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063793941450457905	0.0	0.008803527588384307	0.0	0.0	8.197984695084443E-4	0.0	0.008501848493730011	0.01085928491862396
5	0.001151235252363269	0.001883747025762645	0.0017347741840857585	0.0015205343167827095	0.0012974780032374686	0.0017798166697886935	0.0011370889303633338	0.0010661923981635684	0.0012413821064038634	0.002377721598091955	0.0013591512036791634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005409189214462558	0.0	0.00766187408841631	0.0	0.0	0.0011835962666802875	0.0	0.007465545864358015	0.010081736984416268
6	0.0012393716708025274	0.0015165345534537138	0.001647169820699274	0.0019740196655115097	0.001675950132503113	0.0011289789505194907	0.001485339107316378	0.0011062494729299221	0.0017839706832690019	0.001586812813684817	0.001540883671782845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004647648190646692	0.0	0.008555151183006699	0.0	0.0	9.55499027394573E-4	0.0	0.00851743956185919	0.010026343333726519
7	0.0012721271465613096	0.0020567099333823834	0.0015675608670695192	0.003222678047312816	0.001983360491792709	0.0018439891190305628	0.002293969544071623	0.0011730566212887186	0.002246074666228572	0.0041658226204542344	0.0016316700118531391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0054655939784990825	0.0	0.008307653725763905	0.0	0.0	3.864233154446915E-4	0.0	0.008059722744809374	0.009832938137657829
8	0.002205316796641855	0.002488642249100284	0.0024963235291676046	0.0014842848364135905	0.0021080417207221544	0.002082842838831423	0.0019456851396355147	0.0019276878252041242	0.0019263253957145234	0.0033728669041083272	0.0015368317269728008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.96462962108036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005493226018536808	0.0	0.008503108413109778	0.0	0.0	3.812864592678943E-4	0.0	0.008326725457692846	0.010351376323039207
9	0.001455303077086083	0.0013730097236968983	0.0020057124523666005	0.0017705527147310795	0.001254752151998994	9.596424959078855E-4	0.001870257488683737	7.784392363403585E-4	0.0013336898734722011	0.002096758726360188	0.0011579494248501682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.96462962108036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.734723475976807E-18	1.734723475976807E-18	0.004447834897687325	1.734723475976807E-18	0.008371432576407593	0.0	0.0	4.044156968807406E-4	1.734723475976807E-18	0.008129252982654201	0.010599162194453287
10	0.00153441598223106	0.0013556412408758237	0.0011364416043852421	0.0015647090390223163	0.0011600876604374159	0.001265768936246804	0.0025151734322333315	0.0013395663550072844	0.0013119979181859442	0.001835144763951765	0.0010589403925469329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00517443765745285	0.0	0.008477147264139308	0.0	0.0	3.1712959950018667E-4	0.0	0.008248163500456328	0.010381943230480115
11	0.0015274447106159786	0.0014353699362139884	0.0015014059634161075	0.0011500405988835657	0.0014306465027263758	9.810813837871008E-4	0.00102040677651013	9.314381915481816E-4	0.0011795309324139007	0.0023950578581112803	0.0011409862727014667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004963794131484786	0.0	0.008335928476079087	0.0	0.0	5.155219181229333E-4	0.0	0.007969607122322257	0.010543279334810593
12	0.0013666123378006031	0.0015997600439026302	0.0014003506093610842	0.0018426994312474249	0.0012702234190134695	0.0011431689147569234	0.0010632421108918916	0.0010217545480920617	0.0017617680292422357	0.001935221424551607	0.0014476570835994867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.366905286602115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005142828242123928	0.0	0.008440158668127376	0.0	0.0	8.106443067959334E-4	0.0	0.00827525774292756	0.010118975934638005
13	0.0017314030274205635	0.0017870445777101228	0.0022286651363074947	0.002410883528483974	0.0011595702593160384	0.0018670516819516007	0.0012046237588683036	0.0010364139288552836	0.0012884476479033244	0.001761679401292494	0.0011944257300583983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0052102892511612185	0.0	0.008742569365705796	0.0	0.0	7.236797267837457E-4	0.0	0.008644015703694687	0.010402367958174372
