Sample	RankedTree	
0	1	
1	1	
2	2	
3	2	
4	2	
5	2	
6	2	
7	2	
8	0	
9	0	
10	0	
11	0	
12	0	
13	2	
14	2	
15	2	
16	0	
17	1	
18	2	
19	2	
20	2	
21	2	
22	2	
23	2	
24	2	
25	2	
26	1	
27	0	
28	0	
29	2	
30	0	
31	0	
32	1	
33	2	
34	2	
35	2	
36	2	
37	2	
38	2	
39	0	
40	0	
41	0	
42	0	
43	2	
44	1	
45	1	
46	2	
47	1	
48	2	
49	2	
50	2	
51	0	
52	2	
53	0	
54	0	
55	1	
56	2	
57	2	
58	2	
59	2	
60	2	
61	2	
62	2	
63	2	
64	2	
65	1	
66	2	
67	0	
68	0	
69	0	
70	0	
71	0	
72	0	
73	0	
74	1	
75	2	
76	2	
77	0	
78	0	
79	0	
80	2	
81	2	
82	2	
83	2	
84	2	
85	2	
86	2	
87	2	
88	2	
89	2	
90	0	
91	0	
92	0	
93	0	
94	0	
95	0	
96	0	
97	0	
98	0	
99	0	
100	0	
101	0	
102	0	
103	0	
104	0	
105	0	
106	0	
107	0	
108	0	
109	0	
110	0	
111	0	
112	0	
113	0	
114	0	
115	0	
116	0	
117	0	
118	0	
119	2	
120	1	
121	1	
122	0	
123	2	
124	2	
125	2	
126	1	
127	2	
128	2	
129	2	
130	1	
131	0	
132	0	
133	0	
134	0	
135	0	
136	0	
137	0	
138	0	
139	0	
140	0	
141	0	
142	0	
143	0	
144	0	
145	0	
146	0	
147	0	
148	0	
149	0	
150	0	
151	0	
152	0	
153	1	
154	1	
155	1	
156	1	
157	0	
158	1	
159	1	
160	2	
161	0	
162	1	
163	2	
164	2	
165	2	
166	2	
167	2	
168	2	
169	2	
170	2	
171	2	
172	1	
173	1	
174	1	
175	0	
176	0	
177	0	
178	0	
179	2	
180	0	
181	0	
182	0	
183	0	
184	0	
185	1	
186	1	
187	1	
188	1	
189	1	
190	1	
191	2	
192	2	
193	1	
194	1	
195	1	
196	1	
197	2	
198	1	
199	2	
200	0	
201	0	
202	0	
203	0	
204	0	
205	0	
206	0	
207	0	
208	0	
209	0	
210	0	
211	0	
212	2	
213	1	
214	1	
215	1	
216	0	
217	0	
218	2	
219	2	
220	1	
221	1	
222	0	
223	0	
224	0	
225	0	
226	0	
227	0	
228	0	
229	0	
230	0	
231	0	
232	0	
233	0	
234	0	
235	0	
236	0	
237	0	
238	0	
239	0	
240	0	
241	1	
242	0	
243	0	
244	0	
245	2	
246	0	
247	0	
248	0	
249	0	
250	0	
251	0	
252	0	
253	0	
254	0	
255	0	
256	0	
257	0	
258	0	
259	0	
260	2	
261	2	
262	2	
263	0	
264	2	
265	0	
266	2	
267	2	
268	2	
269	2	
270	2	
271	2	
272	2	
273	2	
274	2	
275	1	
276	1	
277	1	
278	1	
279	1	
280	1	
281	1	
282	1	
283	1	
284	1	
285	1	
286	1	
287	1	
288	1	
289	1	
290	1	
291	1	
292	1	
293	1	
294	1	
295	1	
296	1	
297	2	
298	2	
299	2	
300	2	
301	2	
302	2	
303	2	
304	2	
305	2	
306	2	
307	2	
308	2	
309	2	
310	2	
311	2	
312	2	
313	2	
314	2	
315	2	
316	2	
317	1	
318	1	
319	1	
320	0	
321	0	
322	1	
323	2	
324	2	
325	2	
326	2	
327	1	
328	2	
329	2	
330	2	
331	2	
332	2	
333	2	
334	2	
335	2	
336	1	
337	0	
338	0	
339	0	
340	0	
341	0	
342	0	
343	0	
344	0	
345	0	
346	0	
347	0	
348	0	
349	0	
350	0	
351	0	
352	0	
353	0	
354	0	
355	0	
356	0	
357	0	
358	0	
359	0	
360	0	
361	0	
362	0	
363	2	
364	2	
365	2	
366	2	
367	2	
368	2	
369	2	
370	1	
371	1	
372	1	
373	1	
374	2	
375	2	
376	2	
377	1	
378	0	
379	0	
380	2	
381	2	
382	2	
383	2	
384	2	
385	1	
386	2	
387	0	
388	2	
389	0	
390	0	
391	0	
392	2	
393	1	
394	1	
395	1	
396	1	
397	1	
398	0	
399	0	
400	0	
401	0	
402	0	
403	1	
404	2	
405	1	
406	0	
407	0	
408	0	
409	0	
410	2	
411	2	
412	2	
413	2	
414	0	
415	1	
416	1	
417	1	
418	1	
419	1	
420	1	
421	1	
422	1	
423	1	
424	1	
425	1	
426	1	
427	1	
428	1	
429	0	
430	1	
431	1	
432	1	
433	1	
434	1	
435	1	
436	1	
437	1	
438	1	
439	1	
440	1	
441	2	
442	0	
443	0	
444	0	
445	0	
446	0	
447	0	
448	0	
449	1	
450	1	
451	1	
452	1	
453	1	
454	1	
455	1	
456	1	
457	1	
458	1	
459	1	
460	1	
461	1	
462	1	
463	1	
464	1	
465	1	
466	1	
467	1	
468	1	
469	1	
470	1	
471	1	
472	1	
473	1	
474	1	
475	1	
476	1	
477	1	
478	1	
479	1	
480	1	
481	1	
482	1	
483	1	
484	1	
485	1	
486	1	
487	1	
488	1	
489	1	
490	1	
491	1	
492	1	
493	0	
494	0	
495	0	
496	0	
497	0	
498	0	
499	0	
500	0	
501	0	
502	0	
503	1	
504	1	
505	0	
506	0	
507	0	
508	2	
509	2	
510	1	
511	0	
512	0	
513	0	
514	0	
515	0	
516	0	
517	0	
518	0	
519	0	
520	0	
521	0	
522	1	
523	2	
524	2	
525	2	
526	0	
527	0	
528	0	
529	0	
530	1	
531	1	
532	0	
533	0	
534	0	
535	0	
536	0	
537	0	
538	0	
539	0	
540	0	
541	0	
542	0	
543	0	
544	0	
545	0	
546	0	
547	0	
548	0	
549	0	
550	0	
551	0	
552	0	
553	0	
554	0	
555	2	
556	1	
557	2	
558	0	
559	2	
560	2	
561	0	
562	2	
563	2	
564	2	
565	2	
566	1	
567	1	
568	1	
569	1	
570	1	
571	0	
572	0	
573	0	
574	0	
575	0	
576	0	
577	0	
578	0	
579	0	
580	0	
581	0	
582	0	
583	0	
584	0	
585	0	
586	0	
587	0	
588	0	
589	0	
590	0	
591	0	
592	0	
593	0	
594	0	
595	0	
596	0	
597	0	
598	0	
599	0	
600	0	
601	0	
602	0	
603	0	
604	0	
605	0	
606	0	
607	0	
608	0	
609	0	
610	0	
611	0	
612	0	
613	0	
614	0	
615	0	
616	0	
617	0	
618	0	
619	0	
620	0	
621	0	
622	0	
623	0	
624	0	
625	0	
626	0	
627	0	
628	0	
629	0	
630	0	
631	0	
632	0	
633	0	
634	0	
635	0	
636	0	
637	0	
638	0	
639	0	
640	0	
641	0	
642	1	
643	1	
644	1	
645	1	
646	1	
647	0	
648	1	
